135,136,143,distance,heart_rate,timestamp
4,58,82,0.0,58,2025-07-08 09:28:18+00:00
4,58,82,0.0,58,2025-07-08 09:28:19+00:00
19,59,82,0.0,59,2025-07-08 09:28:20+00:00
23,62,82,0.0,62,2025-07-08 09:28:21+00:00
25,66,82,0.0,66,2025-07-08 09:28:22+00:00
27,68,82,0.0,68,2025-07-08 09:28:23+00:00
29,70,82,0.0,70,2025-07-08 09:28:24+00:00
29,72,82,0.0,72,2025-07-08 09:28:25+00:00
27,68,82,0.0,68,2025-07-08 09:28:26+00:00
24,64,82,0.0,64,2025-07-08 09:28:27+00:00
28,63,82,0.0,63,2025-07-08 09:28:28+00:00
29,61,82,0.0,61,2025-07-08 09:28:29+00:00
44,63,82,0.0,63,2025-07-08 09:28:32+00:00
40,66,82,0.0,66,2025-07-08 09:28:33+00:00
34,68,82,0.0,68,2025-07-08 09:28:34+00:00
39,69,82,0.0,69,2025-07-08 09:28:35+00:00
45,72,82,0.0,72,2025-07-08 09:28:37+00:00
45,71,82,0.0,71,2025-07-08 09:28:38+00:00
34,68,82,0.0,68,2025-07-08 09:28:39+00:00
23,63,82,0.0,63,2025-07-08 09:28:40+00:00
6,59,82,0.0,59,2025-07-08 09:28:41+00:00
1,57,82,0.0,57,2025-07-08 09:28:42+00:00
2,56,82,0.0,56,2025-07-08 09:28:43+00:00
3,55,82,0.0,55,2025-07-08 09:28:44+00:00
22,57,82,0.0,57,2025-07-08 09:28:47+00:00
14,59,82,0.0,59,2025-07-08 09:28:48+00:00
4,65,82,0.0,65,2025-07-08 09:28:49+00:00
4,65,82,0.0,65,2025-07-08 09:28:50+00:00
3,64,82,0.0,64,2025-07-08 09:28:51+00:00
1,65,82,0.0,65,2025-07-08 09:28:54+00:00
1,66,82,0.0,66,2025-07-08 09:28:55+00:00
1,67,82,0.0,67,2025-07-08 09:29:00+00:00
1,68,82,0.0,68,2025-07-08 09:29:04+00:00
1,69,82,0.0,69,2025-07-08 09:29:08+00:00
1,70,82,0.0,70,2025-07-08 09:29:10+00:00
2,72,82,0.0,72,2025-07-08 09:29:11+00:00
1,73,82,0.0,73,2025-07-08 09:29:12+00:00
1,74,82,0.0,74,2025-07-08 09:29:13+00:00
0,75,82,0.0,75,2025-07-08 09:29:14+00:00
1,76,82,0.0,76,2025-07-08 09:29:17+00:00
3,77,82,0.0,77,2025-07-08 09:29:18+00:00
28,78,82,0.0,78,2025-07-08 09:29:21+00:00
43,77,82,0.0,77,2025-07-08 09:29:23+00:00
49,78,82,0.0,78,2025-07-08 09:29:24+00:00
54,79,82,0.0,79,2025-07-08 09:29:25+00:00
49,81,82,0.0,81,2025-07-08 09:29:26+00:00
44,83,82,0.0,83,2025-07-08 09:29:27+00:00
51,84,82,0.0,84,2025-07-08 09:29:28+00:00
55,85,82,0.0,85,2025-07-08 09:29:29+00:00
57,86,82,0.0,86,2025-07-08 09:29:30+00:00
61,87,82,0.0,87,2025-07-08 09:29:31+00:00
65,88,82,0.0,88,2025-07-08 09:29:32+00:00
71,89,82,0.0,89,2025-07-08 09:29:33+00:00
83,90,82,0.0,90,2025-07-08 09:29:35+00:00
86,91,82,0.0,91,2025-07-08 09:29:36+00:00
57,92,82,0.0,92,2025-07-08 09:29:38+00:00
44,93,82,0.0,93,2025-07-08 09:29:39+00:00
40,94,82,0.0,94,2025-07-08 09:29:40+00:00
44,95,82,0.0,95,2025-07-08 09:29:42+00:00
47,96,82,0.0,96,2025-07-08 09:29:43+00:00
48,97,82,0.0,97,2025-07-08 09:29:44+00:00
50,98,82,0.0,98,2025-07-08 09:29:45+00:00
59,99,82,0.0,99,2025-07-08 09:29:47+00:00
57,98,82,0.0,98,2025-07-08 09:29:49+00:00
62,97,82,0.0,97,2025-07-08 09:29:50+00:00
72,98,82,0.0,98,2025-07-08 09:29:52+00:00
64,100,82,0.0,100,2025-07-08 09:29:53+00:00
36,105,82,0.0,105,2025-07-08 09:29:54+00:00
39,106,82,0.0,106,2025-07-08 09:29:55+00:00
59,105,82,0.0,105,2025-07-08 09:29:59+00:00
66,106,82,0.0,106,2025-07-08 09:30:02+00:00
82,107,82,0.0,107,2025-07-08 09:30:07+00:00
57,111,82,0.0,111,2025-07-08 09:30:08+00:00
57,111,82,0.0,111,2025-07-08 09:30:09+00:00
55,110,82,0.0,110,2025-07-08 09:30:10+00:00
49,112,82,0.0,112,2025-07-08 09:30:12+00:00
60,111,82,0.0,111,2025-07-08 09:30:15+00:00
71,109,82,0.0,109,2025-07-08 09:30:20+00:00
73,106,82,0.0,106,2025-07-08 09:30:21+00:00
63,99,82,0.0,99,2025-07-08 09:30:22+00:00
63,96,82,0.0,96,2025-07-08 09:30:23+00:00
66,94,82,0.0,94,2025-07-08 09:30:24+00:00
68,92,82,0.0,92,2025-07-08 09:30:25+00:00
72,91,82,0.0,91,2025-07-08 09:30:26+00:00
73,89,82,0.0,89,2025-07-08 09:30:27+00:00
65,86,82,0.0,86,2025-07-08 09:30:28+00:00
61,85,82,0.0,85,2025-07-08 09:30:29+00:00
61,84,82,0.0,84,2025-07-08 09:30:32+00:00
62,86,82,0.0,86,2025-07-08 09:30:33+00:00
36,85,82,0.0,85,2025-07-08 09:30:37+00:00
36,87,82,0.0,87,2025-07-08 09:30:39+00:00
35,88,82,0.0,88,2025-07-08 09:30:40+00:00
36,90,82,0.0,90,2025-07-08 09:30:42+00:00
30,93,82,0.0,93,2025-07-08 09:30:44+00:00
18,96,82,0.0,96,2025-07-08 09:30:45+00:00
15,97,82,0.0,97,2025-07-08 09:30:46+00:00
10,98,82,0.0,98,2025-07-08 09:30:48+00:00
